job_title,requirements
"Middle School Teachers, Except Special and Career/Technical Education",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
"Secondary School Teachers, Except Special and Career/Technical Education","Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Career/Technical Education Teachers, Secondary School",Prefers less physically demanding work has expertise in 
"Special Education Teachers, Kindergarten and Elementary School","Prefers less physically demanding work. capable of making decisions in uncertain or dynamic situations exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Special Education Teachers, Middle School",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
"Special Education Teachers, Secondary School","Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
"Special Education Teachers, All Other",Prefers less physically demanding work has expertise in 
Self-Enrichment Education Teachers, has expertise in 
Librarians,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Library Technicians,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Instructional Coordinators,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Teacher Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Education, Training, and Library Workers, All Other",Prefers less physically demanding work has expertise in 
Graphic Designers,Prefers less physically demanding work has expertise in 
Merchandise Displayers and Window Trimmers,Engages in tasks that require physical effort has expertise in physically active
Coaches and Scouts,Engages in tasks that require physical effort has expertise in physically active
Public Relations Specialists,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Editors,Prefers less physically demanding work has expertise in 
Dietitians and Nutritionists,Prefers less physically demanding work has expertise in 
Pharmacists,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Physician Assistants,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Occupational Therapists,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Physical Therapists,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Respiratory Therapists,Enjoys interacting with people in complex environments. engages in tasks that require physical effort excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
Speech-Language Pathologists,"Good at expressing ideas and leading conversations. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Registered Nurses,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Nurse Practitioners,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Dental Hygienists,Prefers less physically demanding work has expertise in 
Radiologic Technologists,Engages in tasks that require physical effort has expertise in physically active
Emergency Medical Technicians and Paramedics,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Pharmacy Technicians,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Psychiatric Technicians,Engages in tasks that require physical effort has expertise in physically active
Surgical Technologists,Engages in tasks that require physical effort has expertise in physically active
Veterinary Technologists and Technicians,Engages in tasks that require physical effort has expertise in physically active
Licensed Practical and Licensed Vocational Nurses,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Medical Records and Health Information Technicians,Prefers less physically demanding work has expertise in 
Home Health Aides,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Psychiatric Aides,Engages in tasks that require physical effort has expertise in physically active
Nursing Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Orderlies,Engages in tasks that require physical effort has expertise in physically active
Physical Therapist Assistants,Engages in tasks that require physical effort has expertise in physically active
Dental Assistants,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Medical Assistants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Medical Equipment Preparers,Engages in tasks that require physical effort has expertise in physically active
Pharmacy Aides, has expertise in 
Phlebotomists, has expertise in 
"Healthcare Support Workers, All Other", has expertise in 
First-Line Supervisors of Correctional Officers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
First-Line Supervisors of Police and Detectives,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
First-Line Supervisors of Fire Fighting and Prevention Workers,"Engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Firefighters,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Correctional Officers and Jailers,"Enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Police and Sheriff's Patrol Officers,"Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Security Guards,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
Crossing Guards,Prefers less physically demanding work has expertise in 
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Chefs and Head Cooks, has expertise in 
First-Line Supervisors of Food Preparation and Serving Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Fast Food",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Institution and Cafeteria",Engages in tasks that require physical effort has expertise in physically active
"Cooks, Restaurant",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Cooks, Short Order",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Food Preparation Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Bartenders,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Combined Food Preparation and Serving Workers, Including Fast Food",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Waiters and Waitresses,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Food Servers, Nonrestaurant",Engages in tasks that require physical effort has expertise in physically active
Dining Room and Cafeteria Attendants and Bartender Helpers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Dishwashers,Engages in tasks that require physical effort has expertise in physically active
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Good at expressing ideas and leading conversations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in adaptability
"Food Preparation and Serving Related Workers, All Other", has expertise in 
First-Line Supervisors of Housekeeping and Janitorial Workers,Engages in tasks that require physical effort has expertise in physically active
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Engages in tasks that require physical effort has expertise in physically active
Maids and Housekeeping Cleaners,Engages in tasks that require physical effort has expertise in physically active
Landscaping and Groundskeeping Workers,Engages in tasks that require physical effort. enjoys diverse and changing work activities has expertise in physically active; has expertise in adaptability
First-Line Supervisors of Personal Service Workers,"Good at expressing ideas and leading conversations. engages in tasks that require physical effort. capable of making decisions in uncertain or dynamic situations demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments"
Nonfarm Animal Caretakers,Engages in tasks that require physical effort has expertise in physically active
Gaming Dealers,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Ushers, Lobby Attendants, and Ticket Takers",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Amusement and Recreation Attendants,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
"Hairdressers, Hairstylists, and Cosmetologists",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Childcare Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Personal Care Aides,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Fitness Trainers and Aerobics Instructors,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Recreation Workers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
First-Line Supervisors of Retail Sales Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in physically active
First-Line Supervisors of Non-Retail Sales Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Cashiers,Good at expressing ideas and leading conversations. engages in tasks that require physical effort demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active
Counter and Rental Clerks,Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
Parts Salespersons,Engages in tasks that require physical effort has expertise in physically active
Retail Salespersons,Good at expressing ideas and leading conversations. engages in tasks that require physical effort. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; has expertise in physically active; has expertise in adaptability
Advertising Sales Agents,Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
Insurance Sales Agents,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
"Securities, Commodities, and Financial Services Sales Agents",Enjoys interacting with people in complex environments. prefers less physically demanding work excels at building and maintaining effective relationships across teams and stakeholders
"Sales Representatives, Services, All Other",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; has expertise in adaptability
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. capable of making decisions in uncertain or dynamic situations. enjoys diverse and changing work activities demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders; exhibits sound decision-making capabilities, even in uncertain or high-pressure environments; has expertise in adaptability"
Telemarketers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
"Sales and Related Workers, All Other",Good at expressing ideas and leading conversations demonstrates strong verbal and written communication skills in diverse professional settings
First-Line Supervisors of Office and Administrative Support Workers,Good at expressing ideas and leading conversations. enjoys interacting with people in complex environments. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings; excels at building and maintaining effective relationships across teams and stakeholders
Bill and Account Collectors,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
Billing and Posting Clerks,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
"Bookkeeping, Accounting, and Auditing Clerks",Prefers less physically demanding work has expertise in 
Payroll and Timekeeping Clerks,Prefers less physically demanding work has expertise in 
Procurement Clerks,Prefers less physically demanding work has expertise in 
Tellers,Good at expressing ideas and leading conversations. prefers less physically demanding work demonstrates strong verbal and written communication skills in diverse professional settings
